month,pod_std,disp_std,open_std,pod_pkg,rms_raw,rms_cdc_std
2019-03-01,2674037.8,771294,101165,4383323,14.963167971548614,21.748052895465747
2019-04-01,2317354.6,600290,85346,3797887,13.648609412490675,19.989739561622336
2019-05-01,2418479,610330,109615,4026123,13.163726667778148,19.447021817319776
2019-06-01,3197198.2,768804,142427,5426970,12.408522325055756,18.712845288900194
2019-07-01,2710143.2,615898,90724,4736981,11.505920458878297,18.02576308140811
2019-08-01,3517872.8,766060,99477,6357353,10.754114635779226,17.47634911981079
2019-09-01,2499889,554488,61617,4751857,10.449527876532716,17.79489947669989
2019-10-01,2469302,579715,52343,4768652,10.839102851393706,18.692283385353523
2019-11-01,3216324.2,573750,41096,6191989,8.480226624172172,14.975842106936412
2019-12-01,2372910,375481,19310,4766944,7.3016329844382755,13.56653048866189
2020-01-01,1999560.2,339965,13875,4120489,7.621757785194063,14.445694361715443
2020-02-01,2224939.8,586150,918,4359798,11.851115296804576,20.84453677546698
2020-03-01,1903779.8,428482,47,3599576,10.637433721162903,18.37158098447341
2020-04-01,1974398.6,314067,35,3667621,7.887785281016494,13.723701885854869
2020-05-01,2550802.8,368693,104,4770319,7.174394611259908,12.628203358556197
2020-06-01,2035595,315491,31,3842362,7.587834394337655,13.418770737483502
2020-07-01,2034369,315866,23,3859526,7.564942405407684,13.439630883077518
2020-08-01,2547830,385980,30,4818145,7.416808781495448,13.15613666730292
2020-09-01,2033231.6,299030,14,3876226,7.161956057305229,12.821383544894951
2020-10-01,2579404.6,367899,20,4966297,6.89699066176046,12.482477322815859
2020-11-01,2081026.2,291240,18,4064266,6.686708731430975,12.276775270011914
2020-12-01,2069001.4,288570,13,4031551,6.679674018389763,12.240070811462784
2021-01-01,2499943.6,952777,29,4608521,17.13227739279571,27.594732036171983
2021-02-01,2012206.8,792209,2,3670958,17.749929590355908,28.248608320771606
2021-03-01,2077530.2,860965,15,3613187,19.24308785217847,29.29937081722568
2021-04-01,2078642,861413,15,3501824,19.742521435347197,29.299064307992666
2021-05-01,2629844.6,1074159,82,4367221,19.740562136810883,28.999302823887223
2021-06-01,2102972,889267,15,3453030,20.47918417372188,29.718967707955272
2021-07-01,2601538.4,1213843,18,4266553,22.14881917292108,31.814310187289962
2021-08-01,2050983.8,941501,8,3364332,21.865711001796864,31.462097419248597
2021-09-01,2034860.4,958338,13,3333271,22.330505877865388,32.0170503159249
2021-10-01,2533076.8,1197497,24,4140663,22.43276709577832,32.099332712842966
2021-11-01,2015221.2,920958,6,3288464,21.878490681143397,31.365800767608253
2021-12-01,2023397.2,873757,12,3298094,20.94410850243693,30.15902228874546
2022-01-01,1880406,906712,1,3056068,22.880704959649538,32.53223131125725
2022-02-01,1931433,930006,5,3128994,22.91219512195122,32.501282569220294
2022-03-01,1935589.8,939419,4,3113101,23.181107064246444,32.67529800215151
2022-04-01,2422294.2,1150329,7,3880282,22.866586186051755,32.19837866230879
2022-05-01,1941598.4,863866,10,3102236,21.78123507665713,30.79215408274622
2022-06-01,1982446.4,834315,6,3151261,20.933360698679436,29.619591592830847
2022-07-01,2180364.6,1054706,5,3552761,22.89123286178718,32.60220564860988
2022-08-01,1734014,813366,2,2814040,22.4228002048847,31.929486822157024
2022-09-01,1703182,800025,2,2765374,22.43858261024923,31.959976174582305
2022-10-01,2062260.2,952874,3,3351720,22.136210755300034,31.60300632422299
2022-11-01,1626931,727277,5,2645159,21.565331410292146,30.892574291281207
2022-12-01,2017982.8,888640,3,3277633,21.329375199368837,30.572906908071896
2023-01-01,1577894.8,614585,1,2557326,19.37585890650778,28.031488348723514
2023-02-01,1570090.6,611031,0,2537505,19.40682907865751,28.014531606124113
2023-03-01,1564757,648562,0,2519773,20.47012074165137,29.30268976139454
2023-04-01,1929424,801150,2,3115373,20.455643947450326,29.33996343628597
2023-05-01,1528390.8,703966,1,2461160,22.24132625367837,31.53464019074362
2023-06-01,1500679.8,770563,9,2405554,24.261165441953178,33.926797548382794
2023-07-01,1854216,1084894,0,2969322,26.75964970785967,36.912330603482005
2023-08-01,1461320.8,899923,2,2330621,27.85670153385931,38.112211782441285
2023-09-01,1767577.4,1161050,1,2814798,29.202575148748142,39.64483851894628
2023-10-01,1398032.2,837271,1,2223418,27.355637897218568,37.45669157692273
2023-11-01,1397710.6,813908,0,2228648,26.750797684578362,36.801462964726376
2023-12-01,1760056.6,1021853,0,2817897,26.61248779217397,36.73207066110272
