year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2019-02,Disposable,614860,614860,1596,628666.5285445
2019-02,Open refill,84919,84919,0,355879.1612885
2019-03,Closed pod,4383323,13370189,217518,11530890.551197512
2019-03,Disposable,771294,771294,998,783063.6779889999
2019-03,Open refill,101165,101165,0,426483.5810725
2019-04,Closed pod,3797887,11586773,183233,10071566.4223605
2019-04,Disposable,600290,600290,528,605401.8495735
2019-04,Open refill,85346,85346,0,593109.0374895
2019-05,Closed pod,4026123,12092395,169571,10956604.207302505
2019-05,Disposable,610330,610332,966,617920.3645355001
2019-05,Open refill,109615,109615,0,1348011.284633
2019-06,Closed pod,5426970,15985991,202370,15069310.153179519
2019-06,Disposable,768804,768804,1991,787435.5177624999
2019-06,Open refill,142427,142427,0,1847764.3556915
2019-07,Closed pod,4736981,13550716,179584,13296622.690095505
2019-07,Disposable,615898,615898,537,617938.6233675
2019-07,Open refill,90724,90724,0,911813.74305
2019-08,Closed pod,6357353,17589364,273041,18337216.39343449
2019-08,Disposable,766060,766060,389,768056.7412609999
2019-08,Open refill,99477,99477,0,820172.378412
2019-09,Closed pod,4751857,12499445,298176,13950879.312075509
2019-09,Disposable,554488,554489,268,554628.3580915
2019-09,Open refill,61617,61617,0,369984.0404695
2019-10,Closed pod,4768652,12346510,378059,13764469.081898008
2019-10,Disposable,579715,579715,92,577876.1274845001
2019-10,Open refill,52343,52343,0,190132.4028905
2019-11,Closed pod,6191989,16081621,479073,17715047.60383899
2019-11,Disposable,573750,573750,106,572568.583181
2019-11,Open refill,41096,41096,0,150781.3182855
2019-12,Closed pod,4766944,11864550,392228,13609341.214088
2019-12,Disposable,375481,375481,68,374677.0765975
2019-12,Open refill,19310,19310,0,103671.7646135
2020-01,Closed pod,4120489,9997801,332994,12033491.0273855
2020-01,Disposable,339965,339965,98,339640.73087050003
2020-01,Open refill,13875,13875,0,91081.1740235
2020-02,Closed pod,4359798,11124699,295459,12767877.24940501
2020-02,Disposable,586150,586150,37,584865.5939965
2020-02,Open refill,918,918,0,7084.8862625
2020-03,Closed pod,3599576,9518899,184409,10654055.432805007
2020-03,Disposable,428482,428482,14,428975.8729795
2020-03,Open refill,47,47,0,309.4106245
2020-04,Closed pod,3667621,9871993,163949,10937379.578555007
2020-04,Disposable,314067,314067,2,314743.973338
2020-04,Open refill,35,35,0,291.904389
2020-05,Closed pod,4770319,12754014,236013,14309543.031810012
2020-05,Disposable,368693,368693,7,369249.58176800003
2020-05,Open refill,104,104,0,1044.254737
2020-06,Closed pod,3842362,10177975,220245,11568681.118423507
2020-06,Disposable,315491,315491,7,315850.46294550004
2020-06,Open refill,31,31,0,253.135478
2020-07,Closed pod,3859526,10171845,236147,11628563.074304007
2020-07,Disposable,315866,315866,0,317023.05
2020-07,Open refill,23,23,0,222.41686
2020-08,Closed pod,4818145,12739150,250289,14598133.119071512
2020-08,Disposable,385980,385981,4,388162.62333800003
2020-08,Open refill,30,30,0,252.933488
2020-09,Closed pod,3876226,10166158,200908,11815266.520486007
2020-09,Disposable,299030,299030,11,301297.251666
2020-09,Open refill,14,14,0,132.9521945
2020-10,Closed pod,4966297,12897023,262766,15277927.883940512
2020-10,Disposable,367899,367899,16,371346.10499
2020-10,Open refill,20,20,0,180.691802
2020-11,Closed pod,4064266,10405131,192939,12448160.48785401
2020-11,Disposable,291240,291240,13,293921.25
2020-11,Open refill,18,18,0,179.95635149999998
2020-12,Closed pod,4031551,10345007,140531,12281337.99923351
2020-12,Disposable,288570,288570,9,291406.7
2020-12,Open refill,13,13,0,171.687645
2021-01,Closed pod,4608521,12499718,0,14699819.643593507
2021-01,Disposable,952777,982692,0,1449237.163503499
2021-01,Open refill,29,29,0,328.79817299999996
