month,n_any,n_1pct,n_5pct,other_below_top5,other_below_1pct
2022-01-01,35,8,3,0.08403779267473968,0.03495654339409849
2022-02-01,37,8,3,0.08128150465909956,0.031353297570245985
2022-03-01,36,8,3,0.08441902898578622,0.033774263820113504
2022-04-01,37,8,3,0.081697919879091,0.034645871708222815
2022-05-01,35,7,3,0.07010860957739666,0.04144683362661996
2022-06-01,32,7,3,0.059974017575803194,0.033633263415150966
2022-07-01,34,7,3,0.06051844489977318,0.032183902666065065
2022-08-01,37,6,3,0.05263427198169248,0.038098662581350015
2022-09-01,35,6,3,0.04700629897737541,0.03271752222393363
2022-10-01,38,6,3,0.04979345903833767,0.036102229602730324
2022-11-01,39,6,3,0.051450100556796795,0.03770074120220948
2022-12-01,37,6,3,0.05143408824325545,0.03798459033984281
2023-01-01,32,6,3,0.048247784504575446,0.03602868115399547
2023-02-01,31,6,3,0.052840066851713774,0.04102816030229251
2023-03-01,34,6,3,0.05327122654191677,0.0413977885616315
2023-04-01,34,6,3,0.05516062240601648,0.04342332397834244
2023-05-01,34,6,3,0.05540037658235548,0.0440692050368096
2023-06-01,35,6,3,0.061409553471802235,0.051124997441679275
2023-07-01,34,6,3,0.0729267511672065,0.05867408329306069
2023-08-01,32,6,3,0.07234613344422029,0.05840429637264173
2023-09-01,36,7,4,0.0739473904464162,0.04799445523839561
2023-10-01,37,8,4,0.07631418988991082,0.03893551626130588
2023-11-01,36,8,4,0.07592868705945088,0.038181004155585896
2023-12-01,36,8,4,0.07531965258657532,0.03807733102975438
