month,brand,mgml_mL-sales-weighted,mgml_UPC-unweighted,cap_mL-sales-weighted,cap_UPC-unweighted,Nhom_mL-sales-weighted,Nhom_UPC-unweighted
2013-04-01,CIG2O,12.701886792452829,13.056,2.7358490566037736,2.4,34.750444998220004,31.334399999999995
2013-04-01,FINITI,9.559844065387066,9.744900432900433,3.1034002982247486,2.590909090909091,29.668022923504314,25.248151121605666
2013-04-01,FLAVORED MIST,0.979607222722486,0.979607222722486,14.9937645,14.9937645,14.688000000000004,14.688000000000004
2013-04-01,GREEN SMOKE,16.45326279470961,17.252571428571432,2.8251868890166763,2.142857142857143,46.48354232915946,36.96979591836735
2013-04-01,IMPERIAL,0.7347054170418644,0.7347054170418644,19.991686,19.991686,14.688000000000004,14.688000000000004
2013-04-01,KRAVE,9.690000000000001,9.690000000000001,4,4,38.760000000000005,38.760000000000005
2013-04-01,LOGIC,2.9890724470348204,6.694482758620691,6.992787324734482,4.98125,20.901947920338174,33.34689224137932
2013-04-01,MISTIC,8.88198984007526,10.626133333333334,3.6145813734713075,3.611111111111111,32.10467503529743,38.37214814814815
2013-04-01,NEO,2.4245609687412,6.07104,7.2052942833004785,4.9,17.46967528758444,29.748096000000004
2013-04-01,NICOTEK,7.340903655957013,6.05792338275021,5.813317804972162,6.2919168823529414,42.67500592776015,38.11595040392668
2013-04-01,NJOY,23.145047448454594,15.399494736842106,2.347537869348914,4.413333333333333,54.33387537312462,67.96310343859649
2013-04-01,QUIK E-CIG,2.9376000000000007,2.9376000000000007,5,5,14.688000000000002,14.688000000000002
2013-05-01,21ST CENTURY SMOKE,10.85941224659336,9.671111111111111,2.642512316976081,3.225,28.696130616743847,31.189333333333334
2013-05-01,BLU,13.977364214627517,14.998857142857144,3.7149400896481093,3.8571428571428568,51.925070668532626,57.85273469387755
