"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"FUME",0,0,4.16320148313632e-05,18.8711320754717,0,0,0.000785643250450651,0.000785643250450651,2013-01-01,2023-12-01
"GLAS",0,0,0.000586657929751016,11.8108766127278,0,0,0.00692894442216759,0.00692894442216759,2013-01-01,2023-12-01
"HYDE",0,0,4.18938514026296e-07,24.99,0,0,1.04692734655171e-05,1.04692734655171e-05,2013-01-01,2023-12-01
"HYPPE",0,0,0.0345376183920419,19.2863747572188,0,0,0.666105451530732,0.666105451530732,2013-01-01,2023-12-01
"IGNITE",0,0,0.000747065559223121,19.6808749572153,0,0,0.0147029038559124,0.0147029038559124,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.00016521887646912,23.3193661946737,0,0,0.00385279948265598,0.00385279948265598,2013-01-01,2023-12-01
"JAK",0,0,8.18239285207609e-08,3.74,0,0,3.06021492667646e-07,3.06021492667646e-07,2013-01-01,2023-12-01
"JUICY",0,0,0.000338685604933134,18.99,0,0,0.00643163963768019,0.00643163963768019,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00769105652609463,18.9900000000002,0,0,0.146053163430538,0.146053163430538,2013-01-01,2023-12-01
"JUUL",0,0,0.166210904186229,20.568051206264,0,0,3.41863438834181,3.41863438834181,2013-01-01,2023-12-01
"LEAP",0,0,0.00156088962524774,11.2573530603418,0,0,0.0175714855996384,0.0175714855996384,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0120203605841281,20.3410898729217,0,0,0.244507234946675,0.244507234946675,2013-01-01,2023-12-01
"MNGO",0,0,0.00226376044419864,11.7547996113584,0,0,0.0266100503896746,0.0266100503896746,2013-01-01,2023-12-01
"PACHA",0,0,0.000146086950167102,26.1522327158063,0,0,0.00382049991751244,0.00382049991751244,2013-01-01,2023-12-01
"PALAX",0,0,0.00279366529712723,23.9900000000001,0,0,0.0670200304780824,0.0670200304780824,2013-01-01,2023-12-01
"POP",0,0,7.85509713799305e-08,10.99,0,0,8.63275175465436e-07,8.63275175465436e-07,2013-01-01,2023-12-01
"PUUR VAPOR",0,0,1.2044482278256e-05,16.9606427221172,0,0,0.000204282160694372,0.000204282160694372,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000768883091523886,25.024208357362,0,0,0.0192406906847463,0.0192406906847463,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012431411271445,23.3113735290066,0,0,0.289793271641357,0.289793271641357,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00409996795117547,24.9889539227902,0,0,0.10245391021684,0.10245391021684,2013-01-01,2023-12-01
"STICK",0,0,0.000644798740400698,10.0042836839116,0,0,0.00645074951799746,0.00645074951799746,2013-01-01,2023-12-01
"SWITCH MODS",0,0,1.22584750238744e-05,12.0749331393228,0,0,0.000148020266303342,0.000148020266303342,2013-01-01,2023-12-01
"V2 CIGS",0,0,6.54591428166087e-08,5.99,0,0,3.92100265471486e-07,3.92100265471486e-07,2013-01-01,2023-12-01
"VUSE",0,0,0.511006975137526,24.1453247083481,0,0,12.3384293429263,12.3384293429263,2013-01-01,2023-12-01
"ZEO",0,0,0.0018965477448257,15.9691872700175,0,0,0.0302863261036511,0.0302863261036511,2013-01-01,2023-12-01
