month,HHI_all,unknown_share,HHI_known
2022-01-01,3031.665541285733,1.2888549581107215e-4,3032.4470016682794
2022-02-01,3028.252436738245,1.299630396897095e-4,3029.0395430453727
2022-03-01,3011.296362373737,2.470320090344047e-4,3012.7840764774132
2022-04-01,3054.580473995841,3.3406498584036097e-4,3056.621237145165
2022-05-01,3160.7403705236256,4.443437280917033e-4,3163.5491779662
2022-06-01,3273.0240848573667,4.452009771287915e-4,3275.9383554281767
2022-07-01,3507.043739672306,4.982811032358377e-4,3510.5388555687055
2022-08-01,3588.177071816039,4.82789381055389e-4,3591.6419169563324
2022-09-01,3638.2808127224594,4.998441823169165e-4,3641.9181876053317
2022-10-01,3657.7556802421295,5.066539877260678e-4,3661.4623623820876
2022-11-01,3693.056529780265,5.181589451316328e-4,3696.883999348543
2022-12-01,3729.8562357047726,4.11367691486879e-4,3732.925121352127
2023-01-01,3812.5638304568542,5.153446359760752e-6,3812.6031261814214
2023-02-01,3796.4320110245485,9.857404859162336e-6,3796.5068570942462
2023-03-01,3799.1052599943555,3.32667666804257e-6,3799.130536799474
2023-04-01,3761.814634658674,2.428228674014567e-5,3761.997326339782
2023-05-01,3844.667307418998,2.2319228744616972e-5,3844.83892820127
2023-06-01,3871.21266349262,1.663740187564698e-5,3871.341477780916
2023-07-01,3613.941807480401,1.6384618515045595e-5,3614.060233822071
2023-08-01,3505.22348022732,1.7198424991505428e-5,3505.3440490260245
2023-09-01,3410.6273594519107,3.23073503082586e-5,3410.847736359472
2023-10-01,3253.910976806959,3.7869824151022297e-4,3256.375442986809
2023-11-01,3206.7357065256792,0.0010359096729122066,3213.3790680503103
2023-12-01,3141.189381633648,0.0019043500567490791,3153.151087991611
