"check_priority","upc","brand_filled","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","implied_raw_mg_per_mL","review_flag","total_units"
"1-no-value","081323902462","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK",1,NA,"none",NA,"",222
"1-no-value","081323902014","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO",1,NA,"none",NA,"",209
"1-no-value","085436100425","NE WHERE",NA,"NE WHERE EHOK GRAPE GATSBY",1,NA,"none",NA,"",205
"1-no-value","085436100490","NE WHERE","NE WHERE E-CG LIQUID BGM","NE WHERE E-CG LIQUID BGM",1,NA,"none",NA,"",203
"1-no-value","693728100036","VAPCIGS","VAPCIGS E-CGC","VAPCIGS E-CGC",14,NA,"none",NA,"",203
"1-no-value","081323902013","SPACE JAM","SPC JM E-CG LIQUID ASTRO","SPC JM E-CG LIQUID ASTRO",1,NA,"none",NA,"",199
"1-no-value","081323902463","SPACE JAM","SPC JM E-CG LIQUID MTR MLK","SPC JM E-CG LIQUID MTR MLK",1,NA,"none",NA,"",198
"1-no-value","085682400217",NA,NA,NA,NA,NA,"none",NA,"",191
"1-no-value","081342001169",NA,NA,NA,NA,NA,"none",NA,"",190
"1-no-value","081022002113","ISMOKE VAPER TECH","IVPT E-CGC MN RFL","IVPT E-CGC MN RFL",5,NA,"none",NA,"",187
"1-no-value","081323902002","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,"",187
"1-no-value","085143800755","JAK","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,"",185
"1-no-value","085830200500","NE WHERE","NE WHERE E-CG LIQUID MN","NE WHERE E-CG LIQUID MN",1,NA,"none",NA,"",179
"1-no-value","085436100458","NE WHERE","NE WHERE E-CG LIQUID SR APTN","NE WHERE E-CG LIQUID SR APTN",1,NA,"none",NA,"",178
"1-no-value","085436100467","NE WHERE","NE WHERE E-CG LIQUID GGSB","NE WHERE E-CG LIQUID GGSB",1,NA,"none",NA,"",177
"1-no-value","075166716631","EZ CIG","EZ CIG E-CG WB","EZ CIG E-CG WB",1,NA,"none",NA,"",175
"1-no-value","085436100465","NE WHERE","NE WHERE E-CG LIQUID ISSQ","NE WHERE E-CG LIQUID ISSQ",1,NA,"none",NA,"",170
"1-no-value","085604000326",NA,NA,NA,NA,NA,"none",NA,"",169
"1-no-value","085830200503","NE WHERE","NE WHERE E-CG LIQUID PICO","NE WHERE E-CG LIQUID PICO",1,NA,"none",NA,"",168
"1-no-value","085830200514","NE WHERE","NE WHERE E-CG LIQUID VANILLA","NE WHERE E-CG LIQUID VANILLA",1,NA,"none",NA,"",164
"1-no-value","081323902001","SPACE JAM","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,"",163
"1-no-value","085436100499","NE WHERE","NE WHERE E-CG LIQUID CHERRY","NE WHERE E-CG LIQUID CHERRY",1,NA,"none",NA,"",162
"1-no-value","085436100496","NE WHERE","NE WHERE E-CG LIQUID BB","NE WHERE E-CG LIQUID BB",1,NA,"none",NA,"",157
"1-no-value","075166716627","EZ CIG","EZ CIG E-CG WG","EZ CIG E-CG WG",1,NA,"none",NA,"",155
"1-no-value","085830200509","NE WHERE","NE WHERE E-CG LIQUID TOB","NE WHERE E-CG LIQUID TOB",1,NA,"none",NA,"",154
"1-no-value","079357311753",NA,NA,NA,NA,NA,"none",NA,"",153
"1-no-value","085436100495","NE WHERE","NE WHERE E-CG LIQUID EGV","NE WHERE E-CG LIQUID EGV",1,NA,"none",NA,"",153
"1-no-value","081323902062","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,NA,"none",NA,"",152
"1-no-value","081066902112",NA,NA,NA,NA,NA,"none",NA,"",151
"1-no-value","065436704332","CIGALECTRIC","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,NA,"none",NA,"",150
"1-no-value","075166716619","EZ CIG","EZ CIG E-CG VANILLA","EZ CIG E-CG VANILLA",1,NA,"none",NA,"",149
"1-no-value","085830200528","NE WHERE","NE WHERE E-CG LIQUID BAMA","NE WHERE E-CG LIQUID BAMA",1,NA,"none",NA,"",146
"1-no-value","065436704335","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,NA,"none",NA,"",143
"1-no-value","081323902061","SPACE JAM","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,NA,"none",NA,"",143
"1-no-value","085308600485","CRISS-CROSS","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN",1,NA,"none",NA,"",141
"1-no-value","085436100419",NA,NA,NA,NA,NA,"none",NA,"",139
"1-no-value","081066902114",NA,NA,NA,NA,NA,"none",NA,"",138
"1-no-value","081836802784",NA,NA,NA,NA,NA,"none",NA,"",138
"1-no-value","085830200506","NE WHERE","NE WHERE E-CG LIQUID P-L","NE WHERE E-CG LIQUID P-L",1,NA,"none",NA,"",137
"1-no-value","085830200520","NE WHERE","NE WHERE E-CG LIQUID STMT","NE WHERE E-CG LIQUID STMT",1,NA,"none",NA,"",136
"1-no-value","693728100022","NBL-NCL","NBL-NCL E-CG","NBL-NCL E-CG",5,NA,"none",NA,"",133
"1-no-value","079357310108",NA,NA,NA,NA,NA,"none",NA,"",132
"1-no-value","061645399354","SQUARE","SQUARE LVP P-SN XL","SQUARE LVP P-SN XL",1,NA,"none",NA,"",131
"1-no-value","061772491329",NA,NA,NA,NA,NA,"none",NA,"",131
"1-no-value","085003554362","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINK SQUARES BOX 1 COUNT",1,NA,"none",NA,"",130
"1-no-value","061772451155","SQUARE","SQ-DR E-CG LIQUID PE-SRS","SQ-DR E-CG LIQUID PE-SRS",1,NA,"none",NA,"",128
"1-no-value","085436100466","NE WHERE","NE WHERE E-CG LIQUID WM MINT","NE WHERE E-CG LIQUID WM MINT",1,NA,"none",NA,"",127
"1-no-value","061645399352","SQUARE","SQUARE LVP MOMMA MIA XL","SQUARE LVP MOMMA MIA XL",1,NA,"none",NA,"",125
"1-no-value","079357305740",NA,NA,NA,NA,NA,"none",NA,"",117
"1-no-value","081009691191","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH PEAR JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",117
"1-no-value","061772451140","SQUARE","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML",1,NA,"none",NA,"",116
"1-no-value","085193300304","BLAZE","BLAZE E-CG OGN OLS","BLAZE E-CG OGN OLS",1,NA,"none",NA,"",113
"1-no-value","061737594343","SQUARE","SQUARE LVP ROYAL DAGGER XL","SQUARE LVP ROYAL DAGGER XL",1,NA,"none",NA,"",111
"1-no-value","075166716459","EZ CIG","EZ CIG E-CG BC","EZ CIG E-CG BC",1,NA,"none",NA,"",110
"1-no-value","081066902118",NA,NA,NA,NA,NA,"none",NA,"",109
"1-no-value","061645399353","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MAGIC MELON 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,"",106
"1-no-value","081066902111",NA,NA,NA,NA,NA,"none",NA,"",104
"1-no-value","085604000325",NA,NA,NA,NA,NA,"none",NA,"",99
"1-no-value","081066902117",NA,NA,NA,NA,NA,"none",NA,"",97
"1-no-value","065436704336","CIGALECTRIC","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,NA,"none",NA,"",96
"1-no-value","081066902116",NA,NA,NA,NA,NA,"none",NA,"",95
"1-no-value","079357323340",NA,NA,NA,NA,NA,"none",NA,"",94
"1-no-value","081066902141",NA,NA,NA,NA,NA,"none",NA,"",94
"1-no-value","084727700018","JASPER & JASPER","JJ-IMPLS E-CG TF","JJ-IMPLS E-CG TF",1,NA,"none",NA,"",94
"1-no-value","081009691188","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LYCHEE MANGO MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",91
"1-no-value","081066902115",NA,NA,NA,NA,NA,"none",NA,"",88
