"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"e-liquid (impute mL)","085570400838","MISTIC","raw","MISTIC E-CGC RFL","MISTIC E-CGC RFL",1,10,"prefix10",12,10,10,122.4,"gpt_verified",18,"Closed pod","ok",10186
"e-liquid (impute mL)","078593946481","POP","manual","POP HIT PRO","POP HIT PRO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT",1,1.2,"manual",NA,NA,NA,40.8,"manual",50,"Disposable","ok:manual",10102
"e-liquid (impute mL)","085604000302","VICTORY","raw","VICTORY E-CG MN","VICTORY E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",10097
"e-liquid (impute mL)","081010830133","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR SUNSTONE BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",9772
"bare UPC (needs barcode lookup)","085570400540","MISTIC","prefix",NA,NA,NA,NA,"none",NA,NA,NA,142.8,"prefix8",NA,NA,"",9674
"e-liquid (impute mL)","085570400737","MISTIC","raw","MISTIC E-CGC CHERRY RFL","MISTIC E-CGC CHERRY RFL",3,5,"prefix10",4,1,29.987529,61.2,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",9654
"e-liquid (impute mL)","075362019867","ESCO BARS","raw","ESCO BARS","ESCO BARS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RAINBOW BOX 1 COUNT",1,6,"gpt_verified",NA,NA,NA,204,"gpt_verified",50,"Disposable","ok:gpt-medium",9566
"e-liquid (impute mL)","084920500053","VUSE","raw","VUSE DVC MN/BT&ECCR","VUSE DVC MN/BT&ECCR",1,0.5,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",48,"Closed pod","ok:gpt-medium",9494
"e-liquid (impute mL)","081821401327","GREEN SMOKE","raw","GREEN SMOKE EVPC A-T","GREEN SMOKE EVPC A-T",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",9462
"e-liquid (impute mL)","085001975208","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZ 750 PUFFS BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",9393
"e-liquid (impute mL)","081010830130","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO RUBY BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",9370
"e-liquid (impute mL)","081068701586","NJOY","raw","NJOY E-CG KING 1CT=","NJOY E-CG KING 1CT=",2,5,"prefix10",3,5,5,153,"prefix10",45,NA,"ok",9368
"e-liquid (impute mL)","085001975290","PUUR VAPOR","line","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE 750 PUFFS BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",9191
"e-liquid (impute mL)","088796900877","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,36.68060352,"prefix11",18,"Closed pod","ok:gpt-high",9133
"e-liquid (impute mL)","081821401007","GREEN SMOKE","raw","GREEN SMOKE E-CGCM A-T RFL","GREEN SMOKE E-CGCM A-T RFL",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",8985
"e-liquid (impute mL)","036586038277","21ST CENTURY SMOKE","raw","21SCS E-CG REGULAR TOB","21SCS E-CG REGULAR TOB",1,5.4,"prefix10",3,0.9,5.4,58.752,"gpt_verified",16,"Closed pod","CHECK:siblings_disagree",8865
"e-liquid (impute mL)","084866604131","FINITI","raw","FIN ECGVT BOLD TOB","FIN ECGVT BOLD TOB",1,1.75,"prefix8+carts",8,1,1.75,14.96,"prefix8+carts",12.6,NA,"minor:some_spread",8720
"e-liquid (impute mL)","081821401328","GREEN SMOKE","raw","GREEN SMOKE EVPC M-I","GREEN SMOKE EVPC M-I",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",8522
"e-liquid (impute mL)","081821401334","GREEN SMOKE","raw","GREEN SMOKE EVPC CLASSIC","GREEN SMOKE EVPC CLASSIC",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",8521
"e-liquid (impute mL)","088796900577","BLU","raw","ELCT CGRTT","ELCT CGRTT",1,5,"prefix11",2,5,5,65.28,"prefix11",19.2,NA,"ok",8507
"e-liquid (impute mL)","081679601414","V2 CIGS","raw","V2 CIGS E-CG RT","V2 CIGS E-CG RT",1,1,"brand+carts",3,1,1,12.24,"brand+carts",18,NA,"weak:coarse_match",8195
"e-liquid (impute mL)","084866646235","FINITI","raw","FIN ECGVT VANILLA","FIN ECGVT VANILLA",2,4.8,"brand+carts",2,4.8,4.8,78.336,"brand+carts",24,NA,"weak:coarse_match",8194
"e-liquid (impute mL)","085570400545","MISTIC","raw","MISTIC 2.0 E-CG STBRY CRUSH","MISTIC 2.0 E-CG STBRY CRUSH",1,10,"gpt_verified",NA,NA,NA,27.2,"gpt_verified",4,"Closed pod","ok:gpt-high",8155
"e-liquid (impute mL)","081649401155","NICOTEK","raw","NCTK MTR SVN E-CG MN","NCTK MTR SVN E-CG MN",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,"Disposable","CHECK:siblings_disagree",8101
"bare UPC (needs barcode lookup)","081713502319",NA,"unknown",NA,NA,NA,4.9979215,"prefix10",1,4.9979215,4.9979215,20.39151972,"prefix10",6,NA,"note:single_sibling",8092
"e-liquid (impute mL)","036586037163","VAPIN PLUS","raw","VPLS E-CG LIQUID CHERRY","VPLS E-CG LIQUID CHERRY",1,14.9937645,"prefix11",1,14.9937645,14.9937645,163.13215776,"prefix11",16,NA,"note:single_sibling",7999
"e-liquid (impute mL)","085570400543","MISTIC","raw","MISTIC 2.0 E-CG FRUIT BLAST","MISTIC 2.0 E-CG FRUIT BLAST",1,10,"gpt_verified",NA,NA,NA,27.2,"gpt_verified",4,"Closed pod","ok:gpt-high",7964
"e-liquid (impute mL)","085607300315","JAK","raw","JAK E-CG VANILLA","JAK E-CG VANILLA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",7926
"e-liquid (impute mL)","081821401391","GREEN SMOKE","raw","GREEN SMOKE EVPC M-I","GREEN SMOKE EVPC M-I",3,3,"prefix8+carts",1,3,3,48.96,"prefix8+carts",24,NA,"note:single_sibling",7923
"e-liquid (impute mL)","085570400769","MISTIC","raw","HAUS E-CG LIQUID TPF","HAUS E-CG LIQUID TPF",1,30,"gpt_verified",NA,NA,NA,81.6,"gpt_verified",4,"Open refill","ok:gpt-high",7875
"e-liquid (impute mL)","078593946497","POP","manual","POP HIT PRO","POP HIT PRO SMOKING ALTERNATIVE PRODUCT STRAWBERRY MANGO 1 COUNT",1,1.2,"manual",NA,NA,NA,40.8,"manual",50,"Disposable","ok:manual",7822
"e-liquid (impute mL)","085001975228","PUUR VAPOR","line","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINA COLADA 750 PUFFS BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",7796
"e-liquid (impute mL)","085003843892","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR 1000 PUFFS BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",7750
"e-liquid (impute mL)","071275599740","XFIRE","raw","XFIRE E-CG LIQUID POD MANGO","XFIRE E-CG LIQUID POD MANGO",4,NA,"none",NA,NA,NA,95.2,"own(low-conf)",NA,NA,"",7657
"e-liquid (impute mL)","085570400544","MISTIC","raw","MISTIC 2.0 E-CG CHERRY BURST","MISTIC 2.0 E-CG CHERRY BURST",1,10,"gpt_verified",NA,NA,NA,27.2,"gpt_verified",4,"Closed pod","ok:gpt-high",7612
"e-liquid (impute mL)","078593946495","POP","manual","POP HIT PRO","POP HIT PRO SMOKING ALTERNATIVE PRODUCT STRAWBERRY MANGO 1 COUNT",1,1.2,"manual",NA,NA,NA,40.8,"manual",50,"Disposable","ok:manual",7560
"e-liquid (impute mL)","088796900874","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,36.68060352,"prefix11",18,"Closed pod","ok:gpt-high",7551
"e-liquid (impute mL)","036586038210","21ST CENTURY SMOKE","raw","21SCS E-CG MN","21SCS E-CG MN",1,5.4,"prefix11",3,0.9,5.4,58.752,"gpt_verified",16,"Closed pod","CHECK:siblings_disagree",7503
"e-liquid (impute mL)","081649401354","NICOTEK","raw","NICOTEK METRO E-CG MN KING","NICOTEK METRO E-CG MN KING",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,"Disposable","CHECK:siblings_disagree",7480
"e-liquid (impute mL)","085604000308","VICTORY","raw","VICTORY E-CGC MN RFL","VICTORY E-CGC MN RFL",5,NA,"none",NA,NA,NA,61.2,"own(low-conf)",NA,NA,"",7453
"e-liquid (impute mL)","081679601272","V2 CIGS","raw","V2 CIGS E-CG MN OF","V2 CIGS E-CG MN OF",1,1,"brand+carts",3,1,1,12.24,"brand+carts",18,NA,"weak:coarse_match",7332
"e-liquid (impute mL)","084920500179","VUSE","raw","VUSE E-CGC RICH MINT","VUSE E-CGC RICH MINT",2,1,"gpt_verified",NA,NA,NA,32.64,"gpt_verified",48,"Closed pod","ok:gpt-high",7250
"e-liquid (impute mL)","085001975296","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE 750 PUFFS BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",7244
"e-liquid (impute mL)","081010830115","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO EMERALD BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",7211
"bare UPC (needs barcode lookup)","081713502312",NA,"unknown",NA,NA,NA,4.9979215,"prefix10",1,4.9979215,4.9979215,20.39151972,"prefix10",6,NA,"note:single_sibling",7097
"bare UPC (needs barcode lookup)","081649401019","NICOTEK","prefix",NA,NA,NA,1,"prefix11",1,1,1,12.24,"prefix11",18,NA,"note:single_sibling",7056
"e-liquid (impute mL)","009710000114","MARKTEN","raw","MARKTEN E-CG/ECC","MARKTEN E-CG/ECC",1,1.6,"prefix11",2,1.6,1.6,38.08,"prefix11",35,NA,"ok",6904
"e-liquid (impute mL)","081649401352","NICOTEK","raw","NICOTEK METRO E-CG KING","NICOTEK METRO E-CG KING",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,"Disposable","CHECK:siblings_disagree",6878
"hardware/device (exclude)","088796901111","BLU","raw",NA,"MY BLU ANTISMOKING KIT ELECTRONIC CIGARETTE INTENSE BOX 1 COUNT",1,3,"prefix10",2,3,3,50.592,"prefix10",24.8,NA,"ok",6847
"e-liquid (impute mL)","085001975213","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LIGHTNING BULL 750 PUFFS BOX 1 COUNT",1,10,"prefix11",1,10,10,110.5,"prefix11",16.2,NA,"note:single_sibling",6649
"e-liquid (impute mL)","081085902012","ZOOM","raw","ZOOM E-CG TOB","ZOOM E-CG TOB",3,NA,"none",NA,NA,NA,36.72,"own(low-conf)",NA,NA,"",6511
"e-liquid (impute mL)","088886111000","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",6496
"e-liquid (impute mL)","081649401299","NICOTEK","raw","NCTK MTR MNGT E-CG","NCTK MTR MNGT E-CG",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,"Disposable","CHECK:siblings_disagree",6401
"e-liquid (impute mL)","085001975246","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",6367
"e-liquid (impute mL)","081649401297","NICOTEK","raw","NTK MR CK SK E-CG","NTK MR CK SK E-CG",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,NA,"CHECK:siblings_disagree",6322
"e-liquid (impute mL)","085001975248","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",6185
"e-liquid (impute mL)","081649401298","NICOTEK","raw","NTK MR CK SK E-CG MN","NTK MR CK SK E-CG MN",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,NA,"CHECK:siblings_disagree",6149
"e-liquid (impute mL)","816494011374","NICOTEK","raw","N-M-C E-CG","N-M-C E-CG",1,9.995843,"brand+carts",7,1,9.995843,163.13215776,"brand+carts",24,NA,"CHECK:siblings_disagree",6142
"e-liquid (impute mL)","085607300316","JAK","raw","JAK E-CG GRAPE","JAK E-CG GRAPE",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",6102
"e-liquid (impute mL)","085001975238","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",6011
"e-liquid (impute mL)","081649401295","NICOTEK","raw","N-M-C E-CG","N-M-C E-CG",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,NA,"CHECK:siblings_disagree",6004
"e-liquid (impute mL)","085570400418","MISTIC","raw","MISTIC E-CG","MISTIC E-CG",1,1,"prefix11",2,1,1,12.24,"prefix11",18,NA,"ok",5937
"e-liquid (impute mL)","085604000312","VICTORY","raw","VICTORY E-CGC RFL","VICTORY E-CGC RFL",5,NA,"none",NA,NA,NA,61.2,"own(low-conf)",NA,NA,"",5857
"hardware/device (exclude)","084920501500","VUSE","raw","VUSE CIRO","VUSE CIRO SMOKING ALTRN PRDCT STRTR KIT ELECTRONIC VAPOR CIGARETTE CAR BOX 1 COUNT",1,3.8,"prefix10",13,0.9,6,77.52,"prefix10",30,NA,"CHECK:siblings_disagree",5835
"e-liquid (impute mL)","081649401296","NICOTEK","raw","N-M-C E-CG MN","N-M-C E-CG MN",1,9.995843,"prefix8+carts",8,1,9.995843,163.13215776,"prefix8+carts",24,NA,"CHECK:siblings_disagree",5820
"e-liquid (impute mL)","071275599739","XFIRE","raw","XFIRE E-CG LIQUID POD MINT","XFIRE E-CG LIQUID POD MINT",4,NA,"none",NA,NA,NA,95.2,"own(low-conf)",NA,NA,"",5806
"e-liquid (impute mL)","085962600211","FINITI","raw","FINITI E-CG OLS","FINITI E-CG OLS",1,1.75,"prefix11",2,1.75,1.75,19.04,"prefix11",16,NA,"ok",5779
"e-liquid (impute mL)","081010830121","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR JADE BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",5746
"e-liquid (impute mL)","081002599614","IGNITE","line","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BANANA ICE BOX 1 COUNT",1,5.1,"gpt_verified",NA,NA,NA,173.4,"gpt_verified",50,"Disposable","ok:gpt-high",5721
"e-liquid (impute mL)","085001975256","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH ICE ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",5699
"bare UPC (needs barcode lookup)","084866604607","FINITI","prefix",NA,NA,NA,4.8,"prefix11",2,4.8,4.8,78.336,"prefix11",24,NA,"ok",5662
"e-liquid (impute mL)","085001975244","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",5624
"e-liquid (impute mL)","088886111004","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BLUEBERRY BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",5555
"e-liquid (impute mL)","085570400488","MISTIC","raw","MISTIC E-CGC RFL","MISTIC E-CGC RFL",1,7.5,"prefix10",8,1,10,91.8,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",5486
"e-liquid (impute mL)","085001975294","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE 750 PUFFS BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",5447
"e-liquid (impute mL)","081085902018","ZOOM","raw","ZOOM E-CG MN BOLD","ZOOM E-CG MN BOLD",3,NA,"none",NA,NA,NA,36.72,"own(low-conf)",NA,NA,"",5420
"e-liquid (impute mL)","081002599563","IGNITE","line","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE BOX 1 COUNT",1,5.1,"gpt_verified",NA,NA,NA,173.4,"gpt_verified",50,"Disposable","ok:gpt-high",5380
"e-liquid (impute mL)","081009691192","JUICE","line_firstword","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY PEACH JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",5277
"e-liquid (impute mL)","088796900723","BLU","raw","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE POLAR MINT BOX 1 COUNT",1,1,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",24,"Disposable","ok:gpt-medium",5245
"e-liquid (impute mL)","009710000107","MARKTEN","raw","MARKTEN E-CGC","MARKTEN E-CGC",4,1.6,"prefix10",15,0.8,3.2,38.08,"prefix10",35,NA,"CHECK:siblings_disagree",5190
"e-liquid (impute mL)","072153501202","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT TOBACCO LEAF 500 PUFFS BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",5188
"e-liquid (impute mL)","085607300384","JAK","raw","JAK E-CG PASSION","JAK E-CG PASSION",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",5108
"e-liquid (impute mL)","088886111002","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",5083
"e-liquid (impute mL)","036586037197","VAPIN PLUS","raw","VPLS E-CG LIQUID PEACH","VPLS E-CG LIQUID PEACH",1,14.9937645,"prefix11",2,14.9937645,14.9937645,163.13215776,"prefix11",16,NA,"ok",5002
"e-liquid (impute mL)","085001975250","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ICED FRUIT PUNCH ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",4980
"e-liquid (impute mL)","088886111003","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",4979
"e-liquid (impute mL)","068808300402","WHISL","line_firstword","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT",2,NA,"none",NA,NA,NA,63.58,"own(low-conf)",NA,NA,"",4978
"e-liquid (impute mL)","085143800763","EPIC","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,"line_percart",6,NA,NA,61.2,"line",60,NA,"weak:coarse_match",4967
"e-liquid (impute mL)","088796900873","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,36.68060352,"prefix11",18,"Closed pod","ok:gpt-high",4951
"e-liquid (impute mL)","081010830127","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR ONYX BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",4903
"e-liquid (impute mL)","081821401471","GREEN SMOKE","raw","GREEN SMOKE EVPC CT","GREEN SMOKE EVPC CT",1,1,"prefix8_percart",1,NA,NA,48.96,"prefix8",72,NA,"weak:coarse_match",4870
"hardware/device (exclude)","084920503053","VUSE","raw","VUSE ALTO","VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE BOX 1 COUNT",1,1.8,"prefix10",3,1.8,10.8,61.2,"prefix10",50,NA,"CHECK:siblings_disagree",4793
"e-liquid (impute mL)","085570400775","MISTIC","raw","HAUS E-CG LIQUID MN CITRUS","HAUS E-CG LIQUID MN CITRUS",1,30,"gpt_verified",NA,NA,NA,81.6,"gpt_verified",4,"Open refill","ok:gpt-high",4730
"e-liquid (impute mL)","085438400413","LOGIC","raw","LOGIC E-CG REGULAR MN","LOGIC E-CG REGULAR MN",1,7.25,"prefix10",5,2.9,7.25,88.74,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",4718
"e-liquid (impute mL)","085607300314","JAK","raw","JAK E-CG CHERRY","JAK E-CG CHERRY",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",4714
"e-liquid (impute mL)","085001975242","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",4657
"e-liquid (impute mL)","085570400401","NEO","raw","NEO SOLO E-CG","NEO SOLO E-CG",1,7.5,"prefix10",8,1,10,102,"prefix10",20,NA,"CHECK:siblings_disagree",4594
"e-liquid (impute mL)","081821401133","GREEN SMOKE","raw","GREEN SMOKE E-CGCM A-T RFL","GREEN SMOKE E-CGCM A-T RFL",3,3,"prefix11",1,3,3,48.96,"prefix11",24,NA,"note:single_sibling",4575
"e-liquid (impute mL)","085001975252","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH ICE ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",4562
"e-liquid (impute mL)","081002599572","IGNITE","line","IGNITE V15","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY APPLE WATERMELON BOX 1 COUNT",1,5.1,"gpt_verified",NA,NA,NA,173.4,"gpt_verified",50,"Disposable","ok:gpt-high",4556
"e-liquid (impute mL)","078779031521","SWITCH MODS","line","SWITCH MODS","SWITCH MODS SMOKING ALTERNATIVE PRODUCT STICK PINK LEMONADE BOX 1 COUNT",1,1.3,"prefix10",1,1.3,1.3,102,"prefix10",115.4,NA,"note:single_sibling",4551
"e-liquid (impute mL)","081009691190","JUICE","line_firstword","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON STRAWBERRY MESH COIL BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",4511
"e-liquid (impute mL)","081009691194","JUICE","line_firstword","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO FRESH MINT JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",4451
"e-liquid (impute mL)","088886111005","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MANGO ICE BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",4448
"e-liquid (impute mL)","085001975233","PUUR VAPOR","raw","PUUR VAPOR","PUUR VAPOR ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY BANANA ULTRA BOX 1 COUNT",1,12,"prefix10",6,10,12,110.5,"prefix10",13.5,NA,"minor:some_spread",4443
"e-liquid (impute mL)","088886111006","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",4432
"e-liquid (impute mL)","085570400420","MISTIC","raw","MISTIC E-CG MN","MISTIC E-CG MN",1,7.5,"prefix10",8,1,10,102,"prefix10",20,NA,"CHECK:siblings_disagree",4430
"e-liquid (impute mL)","085539000300","FLAVOR VAPES","raw","FLAVOR VAPES E-CG TOB","FLAVOR VAPES E-CG TOB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",4403
"e-liquid (impute mL)","088886111007","INFUSE","raw","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",4368
"e-liquid (impute mL)","081068701288","NJOY","raw","NJOY E-CG NO","NJOY E-CG NO",1,5,"prefix10",3,5,5,61.2,"prefix10",18,NA,"ok",4348
"e-liquid (impute mL)","085607300324","JAK","raw","JAK E-CG PINEAPPLE","JAK E-CG PINEAPPLE",4,NA,"none",NA,NA,NA,95.2,"own(low-conf)",NA,NA,"",4336
