"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"e-liquid (impute mL)","085830200509","NE WHERE","raw","NE WHERE E-CG LIQUID TOB","NE WHERE E-CG LIQUID TOB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",154
"bare UPC (needs barcode lookup)","079357311753",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",153
"e-liquid (impute mL)","085436100495","NE WHERE","raw","NE WHERE E-CG LIQUID EGV","NE WHERE E-CG LIQUID EGV",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",153
"e-liquid (impute mL)","081323902062","SPACE JAM","raw","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",152
"bare UPC (needs barcode lookup)","081066902112",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",151
"e-liquid (impute mL)","065436704332","CIGALECTRIC","raw","CIGALECTRIC E-CGC REGULAR","CIGALECTRIC E-CGC REGULAR",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",150
"e-liquid (impute mL)","075166716619","EZ CIG","raw","EZ CIG E-CG VANILLA","EZ CIG E-CG VANILLA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",149
"e-liquid (impute mL)","002590017505","E SWISHER","raw","E SWISHER E-CGC MB RFL","E SWISHER E-CGC MB RFL",3,3,"prefix11",2,3,3,30.6,"prefix11",15,NA,"ok",148
"e-liquid (impute mL)","081068701805","NJOY","raw","NJOY E-CG LIQUID S-MS","NJOY E-CG LIQUID S-MS",1,5.527495,"prefix10",2,1,10.05499,44.386966,"prefix10",11.8,NA,"CHECK:siblings_disagree",148
"e-liquid (impute mL)","036586037185","VAPIN PLUS","raw","VPLS E-CIG LIQUID CAPPUCCINO","VPLS E-CIG LIQUID CAPPUCCINO",1,14.9937645,"prefix10",4,14.9937645,14.9937645,163.13215776,"prefix10",16,NA,"ok",147
"e-liquid (impute mL)","081068701803","NJOY","raw","NJOY E-CG LIQUID S-MS","NJOY E-CG LIQUID S-MS",1,5.527495,"prefix10",2,1,10.05499,44.386966,"prefix10",11.8,NA,"CHECK:siblings_disagree",147
"e-liquid (impute mL)","085830200528","NE WHERE","raw","NE WHERE E-CG LIQUID BAMA","NE WHERE E-CG LIQUID BAMA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",146
"e-liquid (impute mL)","085266255765","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",144
"e-liquid (impute mL)","065436704335","CIGALECTRIC","raw","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",143
"e-liquid (impute mL)","081323902061","SPACE JAM","raw","SPC JM E-CG LIQUID PLUTO","SPC JM E-CG LIQUID PLUTO",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",143
"e-liquid (impute mL)","085308600485","CRISS-CROSS","raw","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",141
"bare UPC (needs barcode lookup)","085436100419",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",139
"bare UPC (needs barcode lookup)","081066902114",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",138
"bare UPC (needs barcode lookup)","081836802784",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",138
"e-liquid (impute mL)","003512732010","JUST JUICE","raw","JUST JUICE E-CG LIQUID MN","JUST JUICE E-CG LIQUID MN",1,9.995843,"prefix11",1,9.995843,9.995843,169.929331,"prefix11",25,NA,"note:single_sibling",137
"e-liquid (impute mL)","085830200506","NE WHERE","raw","NE WHERE E-CG LIQUID P-L","NE WHERE E-CG LIQUID P-L",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",137
"e-liquid (impute mL)","085830200520","NE WHERE","raw","NE WHERE E-CG LIQUID STMT","NE WHERE E-CG LIQUID STMT",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",136
"e-liquid (impute mL)","081068701797","NJOY","raw","NJOY E-CG LIQUID DBL-ESPRSO","NJOY E-CG LIQUID DBL-ESPRSO",1,10,"prefix11",1,10,10,68,"prefix11",10,NA,"note:single_sibling",133
"e-liquid (impute mL)","693728100022","NBL-NCL","line_firstword","NBL-NCL E-CG","NBL-NCL E-CG",5,NA,"none",NA,NA,NA,61.2,"own(low-conf)",NA,NA,"",133
"bare UPC (needs barcode lookup)","079357310108",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",132
"e-liquid (impute mL)","061645399354","SQUARE","raw","SQUARE LVP P-SN XL","SQUARE LVP P-SN XL",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",131
"bare UPC (needs barcode lookup)","061772491329",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",131
"e-liquid (impute mL)","085003554362","FIFTY","line_firstword","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PINK SQUARES BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",130
"e-liquid (impute mL)","061772451155","SQUARE","raw","SQ-DR E-CG LIQUID PE-SRS","SQ-DR E-CG LIQUID PE-SRS",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",128
"e-liquid (impute mL)","085436100466","NE WHERE","raw","NE WHERE E-CG LIQUID WM MINT","NE WHERE E-CG LIQUID WM MINT",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",127
"e-liquid (impute mL)","079357320162","IMPERIAL","raw","IMPRL HK E-CG JUNGLE JUICE","IMPRL HK E-CG JUNGLE JUICE",1,19.991686,"brand+carts",1,19.991686,19.991686,244.69823664,"brand+carts",18,NA,"weak:coarse_match",126
"e-liquid (impute mL)","061645399352","SQUARE","raw","SQUARE LVP MOMMA MIA XL","SQUARE LVP MOMMA MIA XL",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",125
"e-liquid (impute mL)","081102002211","IMPERIAL","raw","IMPRL HK E-CG LIQUID B-O-M","IMPRL HK E-CG LIQUID B-O-M",1,19.991686,"prefix8+carts",1,19.991686,19.991686,244.69823664,"prefix8+carts",18,NA,"note:single_sibling",125
"e-liquid (impute mL)","088886130604","LEAP","raw","LEAP GO","LEAP GO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MIXED BERRY BOX 1 COUNT",1,1.5,"prefix8_percart",10,NA,NA,97.92,"prefix8",96,NA,"weak:coarse_match",124
"e-liquid (impute mL)","081102002392","IMPERIAL","raw","IMPRL HK E-CG LIQUID B-P","IMPRL HK E-CG LIQUID B-P",1,19.991686,"prefix8+carts",1,19.991686,19.991686,244.69823664,"prefix8+carts",18,NA,"note:single_sibling",118
"bare UPC (needs barcode lookup)","079357305740",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",117
"e-liquid (impute mL)","081009691191","JUICE","line_firstword","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH PEAR JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",117
"e-liquid (impute mL)","061772451140","SQUARE","raw","SQ-DR E-CG LIQUID MML","SQ-DR E-CG LIQUID MML",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",116
"e-liquid (impute mL)","081102002174","IMPERIAL","raw","IMPRL HK E-CG LIQUID SB-MG","IMPRL HK E-CG LIQUID SB-MG",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",114
"bare UPC (needs barcode lookup)","088796900580","BLU","prefix",NA,NA,NA,3,"prefix10",5,1,5,48.96,"prefix10",24,NA,"CHECK:siblings_disagree",114
"e-liquid (impute mL)","697184747275","JUICY BAR","line","JUICY BAR","JUICY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ALASKAN BLUEBERRY MINT MESH COIL BOX 1 COUNT",1,13,"prefix10",2,13,13,102,"prefix10",11.5,NA,"ok",114
"e-liquid (impute mL)","085193300304","BLAZE","raw","BLAZE E-CG OGN OLS","BLAZE E-CG OGN OLS",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",113
"e-liquid (impute mL)","081068701799","NJOY","raw","NJOY E-CG LIQUID BTR-CRNCH","NJOY E-CG LIQUID BTR-CRNCH",1,10,"prefix11",1,10,10,68,"prefix11",10,NA,"note:single_sibling",112
"e-liquid (impute mL)","061737594343","SQUARE","raw","SQUARE LVP ROYAL DAGGER XL","SQUARE LVP ROYAL DAGGER XL",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",111
"e-liquid (impute mL)","081102002198","IMPERIAL","raw","IMPRL HK E-CG LIQUID IM-RSH","IMPRL HK E-CG LIQUID IM-RSH",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",111
"e-liquid (impute mL)","075166716459","EZ CIG","raw","EZ CIG E-CG BC","EZ CIG E-CG BC",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",110
"bare UPC (needs barcode lookup)","081066902118",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",109
"e-liquid (impute mL)","081102002189","IMPERIAL","raw","IMPRL HK E-CG LIQUID NAZ 64","IMPRL HK E-CG LIQUID NAZ 64",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",108
"e-liquid (impute mL)","061645399353","SQUARE","raw","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN MAGIC MELON 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",106
