"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
53,"081536802173","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,1,"60","prefix10","5-ok",93632,0.655
54,"088886130210","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix11","5-ok",90804,0.661
55,"081536802176","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1,1,"60","prefix10","5-ok",86190,0.667
56,"081068701686","NJOY","NJOY E-CGCM GOLD TOB RFL","NJOY E-CGCM GOLD TOB RFL",2,1,2,"30","prefix11","5-ok",83411,0.673
57,"085962600207","FINITI","FINITI E-CG","FINITI E-CG",1,1.75,1.75,"16","prefix11","5-ok",80663,0.679
58,"088886130603","LEAP",,"LEAP GO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MINT BOX 1 COUNT",1,1.5,1.5,"96","prefix8_percart","2-weak",78149,0.684
59,"085000134231","EPIC","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,1.5,"60","line_percart","2-weak",73158,0.69
60,"081990502355","GLAS","GLAS","GLAS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SAPPHIRE BOX 2 COUNT",2,1.3,2.6,"50","line+carts","1-CHECK",72444,0.695
61,"085000134246","EPIC","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,1.5,"60","line_percart","2-weak",70327,0.7
62,"081505802251","LOGIC","ELCT CGRTT LIQUID CAPSULE","ELCT CGRTT LIQUID CAPSULE",2,1.5,3,"18","prefix11","3-single-sibling",70242,0.704
63,"088796900992","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"40","prefix11","5-ok",69893,0.709
64,"081991301516","JUUL","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,0.7,1.4,"50","prefix11","5-ok",69345,0.714
65,"088796901040","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,1.5,3,"24","prefix10","4-minor",68857,0.719
66,"036586038376","21ST CENTURY SMOKE","21CS E-CGC","21CS E-CGC",1,14.99,14.9937645,"16","prefix8+carts","1-CHECK",66605,0.724
67,"088796901129","BLU","BLU","BLU SMOKING ALTERNATIVE PRODUCT TOBACCO 2 COUNT",2,1.5,3,"24.8","prefix10","5-ok",64800,0.728
