"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
67,"002145801025","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,,,,"none","1-no-value",1373,0.12
68,"081190403396",,,,,,,,"none","1-no-value",1358,0.12
69,"081102002396","IMPERIAL",,,,,,,"none","1-no-value",1352,0.12
70,"081190403394",,,,,,,,"none","1-no-value",1327,0.12
71,"081102002403","IMPERIAL",,,,,,,"none","1-no-value",1319,0.12
72,"081102002395","IMPERIAL",,,,,,,"none","1-no-value",1308,0.121
73,"081102002394","IMPERIAL",,,,,,,"none","1-no-value",1290,0.121
74,"085682400211","ECO-CIGS","ECO-CIGS E-CG TF","ECO-CIGS E-CG TF",1,,,,"none","1-no-value",1285,0.121
75,"085005158206","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RASPBERRY LEMONADE BOX 1 COUNT",1,,,,"none","1-no-value",1243,0.121
76,"085682400216","ECO-CIGS","ECO-CIGS E-CGCM TF","ECO-CIGS E-CGCM TF",3,,,,"none","1-no-value",1243,0.121
77,"081102002393","IMPERIAL",,,,,,,"none","1-no-value",1231,0.121
78,"068808300400","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT",2,,,,"none","1-no-value",1196,0.121
79,"084851100000","INTELLICIG","INTELLICIG E-CG","INTELLICIG E-CG",1,,,,"none","1-no-value",1160,0.122
80,"081102002401","IMPERIAL",,,,,,,"none","1-no-value",1157,0.122
81,"081102002402","IMPERIAL",,,,,,,"none","1-no-value",1101,0.122
82,"085609000300","ISMOK","ISMOK E-CG CT","ISMOK E-CG CT",1,,,,"none","1-no-value",1045,0.122
83,"085682400215","ECO-CIGS","ECO-CIGS E-CG MN","ECO-CIGS E-CG MN",3,,,,"none","1-no-value",1033,0.122
84,"089961000242","CIGIREX","CIGIREX E-CG MN OLS","CIGIREX E-CG MN OLS",1,,,,"none","1-no-value",1003,0.122
85,"085005158208","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO PEACH BLUE RASPBERRY BOX 1 COUNT",1,,,,"none","1-no-value",991,0.122
86,"001396427293","SMART SMOKE","SMART SMOKE E-CG COFFEE","SMART SMOKE E-CG COFFEE",2,,,,"none","1-no-value",914,0.122
87,"085003554338","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUE RAZZLE ICE BOX 1 COUNT",1,,,,"none","1-no-value",825,0.122
88,"085005158209","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY LIME CRANBERRY BOX 1 COUNT",1,,,,"none","1-no-value",819,0.123
89,"070471534527",,,,,,,,"none","1-no-value",815,0.123
90,"085005158207","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MIXED BERRIES BOX 1 COUNT",1,,,,"none","1-no-value",812,0.123
91,"003760401203",,,,,,,,"none","1-no-value",806,0.123
92,"085003554343","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO JUICY MANGO MELON ICE BOX 1 COUNT",1,,,,"none","1-no-value",725,0.123
