year,brand,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2017,V2 CIGS,26646,26646,116046,116046,326151.93599999964,326151.93599999964,12.240183742400347,12.240183742400347,4.355100202657059,4.355100202657059,53.307226697087394,53.307226697087394,0,0
2017,VAPIN PLUS,146743.97316150833,146743.97316150833,2117305.881321115,2117305.881321115,178973.2799999762,178973.2799999762,1.219629509438155,1.219629509438155,14.42857131168706,14.42857131168706,17.597511350766325,17.597511350766325,0,0
2017,VAPOR X,6,6,12,12,63.647999999999996,63.647999999999996,10.607999999999999,10.607999999999999,2,2,21.215999999999998,21.215999999999998,0,0
2017,VAPORIN,1229.488689,1229.488689,36869.327716559485,36869.327716559485,15048.941553359995,15048.941553359995,12.239999999999995,12.239999999999995,29.987529000000002,29.987529000000002,367.0473549599999,367.0473549599999,0,0
2017,VUSE,1857211.0999998932,1855557.7999998746,4395980.450000115,4381596.740000137,50069379.540289566,50052515.880288266,26.959444481186036,26.9743771281561,2.3669794187641715,2.361336704251645,63.81245022828268,63.69558678704108,-0.11686344124159831,-0.08902057499111264
2017,ZIG-ZAG,461.99999999999955,461.99999999999955,862.4000000000009,862.4000000000009,5363.16000000002,5363.16000000002,11.608571428571484,11.608571428571484,1.8666666666666705,1.8666666666666705,21.66933333333348,21.66933333333348,0,0
2018,21ST CENTURY SMOKE,1053088.4254353573,1053088.4254353573,7948427.486252176,7948427.486252176,7693789.8239985965,7693789.8239985965,7.305929528964206,7.305929528964206,7.5477303655352745,7.5477303655352745,55.14318615422396,55.14318615422396,0,0
2018,AL CAPONE,7,7,7,7,85.67999999999999,85.67999999999999,12.239999999999998,12.239999999999998,1,1,12.239999999999998,12.239999999999998,0,0
2018,BLU,8341613,8341613,18986145.5,18986145.5,130547054.97349283,130556085.37349114,15.650097286159504,15.651179858558667,2.276076041887822,2.276076041887822,35.620811486241266,35.62327550334261,0.0024640171013459167,0
2018,CIG2O,434,434,1216,1216,6617.760000000001,6617.760000000001,15.248294930875579,15.248294930875579,2.80184331797235,2.80184331797235,42.723333262545395,42.723333262545395,0,0
2018,COSMIC FOG,396150,396150,11884500,11884500,194697.5999999606,194697.5999999606,0.49147444149933256,0.49147444149933256,30,30,14.744233244979977,14.744233244979977,0,0
2018,E SWISHER,30,30,90,90,288.8639999999999,288.8639999999999,9.628799999999996,9.628799999999996,3,3,28.886399999999988,28.886399999999988,0,0
2018,FAZE,1539.3598219999978,1539.3598219999978,15387.19910121996,15387.19910121996,2261.9520000000025,2261.9520000000025,1.4694108340837322,1.4694108340837322,9.995843000000022,9.995843000000022,14.688000000000068,14.688000000000068,0,0
2018,FINITI,16398.14999999974,16398.14999999974,61503.33250000049,61503.33250000049,171679.0560000045,171679.0560000045,10.469416123160675,10.469416123160675,3.75062629016087,3.75062629016087,39.266867354160524,39.266867354160524,0,0
