year,brand,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2020,VUSE,45329545.699999884,45316081.699999884,159091764.7099989,158974627.9099989,1172725134.684013,1199591763.3240073,25.87109834378984,26.47165682296866,3.5096703982629878,3.508128283518372,90.79902802774981,92.86596801224846,2.066939984498646,-0.02970248166418318
2020,ZIG-ZAG,25.199999999999996,25.199999999999996,50.959999999999994,50.959999999999994,310.08,310.08,12.304761904761905,12.304761904761905,2.022222222222222,2.022222222222222,24.882962962962964,24.882962962962964,0,0
2021,21ST CENTURY SMOKE,1295.07529,1295.07529,6252.739477629205,6252.739477629205,11812.416000000001,11812.416000000001,9.121026469434067,9.121026469434067,4.828089552715661,4.828089552715661,44.037132607117634,44.037132607117634,0,0
2021,AIRIS,636,636,3816,3816,10812.000000000002,10812.000000000002,17.000000000000004,17.000000000000004,6,6,102.00000000000003,102.00000000000003,0,0
2021,BIDI,2421000.399999996,2421000.399999996,4452238.000000011,4452238.000000011,136083356.4399999,136083356.4399999,56.20955553745473,56.20955553745473,1.8390075441540688,1.8390075441540688,103.36979668692636,103.36979668692636,0,0
2021,BLU,4208174.511669,4208174.511669,11245460.246152608,11245460.246152608,71583615.89636117,71583860.69636117,17.01061011083651,17.010668283328954,2.6722894250154465,2.6722894250154465,45.45727351224924,45.45742896598562,1.5545373638303772e-4,0
2021,BO VAPING,17.5,17.5,12.249999999999998,12.249999999999998,2550.0000000000005,2550.0000000000005,145.71428571428575,145.71428571428575,0.6999999999999998,0.6999999999999998,102,102,0,0
2021,BUD VAPE,168595,168595,1125257.5,1125257.5,2866115,2866115,17,17,6.674323081941932,6.674323081941932,113.46349239301284,113.46349239301284,0,0
2021,CIG2O,10,10,20,20,130.56,130.56,13.056000000000001,13.056000000000001,2,2,26.112000000000002,26.112000000000002,0,0
2021,CUE,104.95635150000001,104.95635150000001,524.5636057234074,524.5636057234074,2142.0000000000005,2142.0000000000005,20.408483806718454,20.408483806718454,4.9979215,4.9979215,102.00000000000001,102.00000000000001,0,0
2021,DINNER LADY,58449.664926,58449.664926,184657.06030540264,184657.06030540264,947316.5000000001,947316.5000000001,16.20738974636291,16.20738974636291,3.1592492538526455,3.1592492538526455,51.203183963096045,51.203183963096045,0,0
2021,DUO XTRA,6259.5,6259.5,40686.75,40686.75,106411.50000000001,106411.50000000001,17.000000000000004,17.000000000000004,6.5,6.5,110.50000000000003,110.50000000000003,0,0
2021,EPIC,98067,98067,147100.5,147100.5,2224178,2224178,22.680188034710962,22.680188034710962,1.5,1.5,34.02028205206644,34.02028205206644,0,0
2021,FAZE,19.991686,19.991686,199.83375456129804,199.83375456129804,326.26431552,326.26431552,16.32,16.32,9.995843,9.995843,163.13215776,163.13215776,0,0
2021,FINITI,34,34,124.5,124.5,369.92,369.92,10.88,10.88,3.661764705882353,3.661764705882353,39.84,39.84,0,0
2021,GLAMEE,768,768,12288,12288,8296,8296,10.802083333333334,10.802083333333334,16,16,172.83333333333334,172.83333333333334,0,0
2021,GLAS,841733.100000001,841733.100000001,1424367.490000001,1424367.490000001,30196518.60000001,30196518.60000001,35.87422022491449,35.87422022491449,1.6921842446257598,1.6921842446257598,60.70579025283508,60.70579025283508,0,0
2021,GREEN SMART LIVING,25,25,125,125,306,306,12.24,12.24,5,5,61.2,61.2,0,0
2021,GREEN SMOKE,9,9,27,27,244.80000000000007,244.80000000000007,27.200000000000006,27.200000000000006,3,3,81.60000000000002,81.60000000000002,0,0
2021,HELO,22998.800000000003,22998.800000000003,101194.72000000002,101194.72000000002,390979.60000000003,390979.60000000003,17,17,4.4,4.4,74.80000000000001,74.80000000000001,0,0
2021,HYDE,1298,1298,3054.8,3054.8,25806.000000000004,22066,19.88135593220339,17,2.35346687211094,2.35346687211094,46.79011255908699,40.00893682588598,-6.78117573320101,0
2021,HYPPE,1946838,1946838,11680370.4,11680370.4,66192084,66192084,33.99979042940399,33.99979042940399,5.999662221509956,5.999662221509956,203.98725817855086,203.98725817855086,0,0
2021,IGNITE,1863984.2000000007,1863984.2000000007,7266741.040000005,7266741.040000005,34862501.800000004,34862501.800000004,18.703217441435388,18.703217441435388,3.898499268395087,3.898499268395087,72.9144795120701,72.9144795120701,0,0
2021,IMPERIAL,99.95843,99.95843,1998.3375456129804,1998.3375456129804,1223.4911832000003,1223.4911832000003,12.240000000000002,12.240000000000002,19.991686,19.991686,244.69823664000006,244.69823664000006,0,0
2021,JAK,738.75,738.75,923.4375,923.4375,60282.00000000001,60282.00000000001,81.60000000000001,81.60000000000001,1.25,1.25,102.00000000000001,102.00000000000001,0,0
2021,JUST JUICE,589.7547370000001,589.7547370000001,5895.095759558292,5895.095759558292,10025.830529,10025.830529,17,17,9.995843,9.995843,169.92933100000002,169.92933100000002,0,0
2021,JUUL,50096971.90624794,50096971.90624794,133886833.18939674,133886833.18939674,1591361261.999993,1601386107.5999904,31.76561778979546,31.965726603133678,2.6725534118100813,2.6725534118100813,84.89531020237287,85.43011169419319,0.5348014918203177,0
2021,KOMGE,54.400000000000006,54.400000000000006,174.08000000000004,174.08000000000004,924.8000000000001,924.8000000000001,17,17,3.2000000000000006,3.2000000000000006,54.40000000000001,54.40000000000001,0,0
